row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,changed,method,reason,llm_error
1915,1033818-23.2021.4.01.0000,Competência dos Tribunais Regionais Federais para processar e julgar revisão criminal de sentença penal estrangeira ante ausência de previsão constitucional,Direito Processual Penal,Direito Processual Penal,Processo Penal,"Processo Penal, Direito Processual Penal",1,fallback,problematic_structure,openai_disabled
3882,0064415-70.2013.4.01.0000,Expedição de RPV para pagamento de honorários advocatícios devidos por Ministério Público Federal independentemente de participação ou responsabilidade da União,Direito Processual Civil,Direito Processual Civil,Honorários Advocatícios,"Honorários Advocatícios, Processo de Execução",1,fallback,problematic_structure,openai_disabled
4963,1023103-14.2024.4.01.0000,Admissibilidade de provas obtidas por cooperação direta entre autoridades policiais e controvérsia sobre nulidade processual e garantias constitucionais,Direito Penal,Direito Penal,Processo Penal,"Processo Penal, Direito Penal Comum",1,fallback,problematic_structure,openai_disabled
4977,1035933-17.2021.4.01.0000,"Execução de honorários sucumbenciais e vedação à penhora de salários, discutindo aplicação do Tema Repetitivo 1153 do STJ sobre impenhorabilidade remuneratória",Direito Processual Civil,Direito Processual Civil,Honorários Advocatícios,"Honorários Advocatícios, Processo de Execução",1,fallback,problematic_structure,openai_disabled
6601,0004252-41.2015.4.01.3303,"Embargos infringentes: admissibilidade diante de julgamento unânime e controvérsia sobre se ressalva individual de fundamentação, sem modificar o resultado, configura divergência a",Direito Processual Penal,Direito Processual Penal,Processo Penal,"Processo Penal, Direito Processual Penal",1,fallback,problematic_structure,openai_disabled
6766,0003543-44.2018.4.01.4000,Reconhecimento fotográfico policial realizado sem observância do art. 226 do CPP e invalidação da prova para sustentar condenação criminal,Direito Penal,Direito Penal,Processo Penal,"Processo Penal, Direito Penal Comum",1,fallback,problematic_structure,openai_disabled
6964,0011143-31.2014.4.01.4300,Gestão fraudulenta de instituto de previdência municipal por equiparação a instituição financeira e discussão sobre dolo e inexigibilidade de conduta diversa diante de dificuldade ,Direito Penal,Direito Penal,Direito Penal Administrativo,"Direito Penal Administrativo, Processo Penal",1,fallback,problematic_structure,openai_disabled
7005,1032337-54.2023.4.01.0000,Homologação de cálculos pela contadoria em valor superior ao da exequente e controvérsia sobre configuração de julgamento ultra petita diante da correta aplicação dos parâmetros do,Direito Processual,Direito Processual,Processo Civil,"Processo Civil, Processual Tributário",1,fallback,problematic_structure,openai_disabled
7101,1017947-11.2025.4.01.0000,"Perpetuação da competência por prerrogativa de função para julgamento de ação penal após saída do cargo quando fatos se relacionam diretamente ao exercício da função, afetando ence",Direito Penal,Direito Penal,Processo Penal,"Processo Penal, Direito Penal Comum",1,fallback,problematic_structure,openai_disabled
7610,0044733-32.2013.4.01.0000,Aplicação dos §§ 3º e 4º do art. 85 do CPC para arbitramento de honorários advocatícios na ação rescisória quando inexistir base de cálculo vinculada ao proveito econômico,Processual Civil,Direito Processual Civil,Processo Civil,"Processo Civil, Processo de Execução",1,fallback,problematic_structure,openai_disabled
