"ID","Full","Nome"
"1","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx","Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx"
"2","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Análise de sessões de julgamento do TSE no YouTube.txt","Análise de sessões de julgamento do TSE no YouTube.txt"
"3","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Análise jurídica de aula em vídeo do YouTube.txt","Análise jurídica de aula em vídeo do YouTube.txt"
"4","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Assistente de catalogação jurídica (resumos de jurisprudência).txt","Assistente de catalogação jurídica (resumos de jurisprudência).txt"
"5","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Assistente para registro de atas de julgamento (Grupo TSE).txt","Assistente para registro de atas de julgamento (Grupo TSE).txt"
"6","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx","Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx"
"7","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt","Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt"
"8","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Complementar pesquisa jurídica com fontes da web.txt","Complementar pesquisa jurídica com fontes da web.txt"
"9","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Conferir jurisprudência e números de processos.txt","Conferir jurisprudência e números de processos.txt"
"10","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx","Conle - PEC 27-2024 Igualdade Racial (FNREPIR) - emenda de redação.docx"
"11","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Elaboração de sentença penal (árvore e modelo criminal).txt","Elaboração de sentença penal (árvore e modelo criminal).txt"
"12","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Elaborador de provas FGV TRF1 - análise do dossiê da banca.txt","Elaborador de provas FGV TRF1 - análise do dossiê da banca.txt"
"13","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Enriquecimento - Informação Técnica CONLE.docx","Enriquecimento - Informação Técnica CONLE.docx"
"14","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Estruturar base jurídica no Notion.txt","Estruturar base jurídica no Notion.txt"
"15","C:\Users\mauri\OneDrive\Documentos\12 - Consultoria Legislativa\PROMPTs\Estruturar base.md","Estruturar base.md"
