"Nome","Ext","Hash","Pasta","Full"
"Prompt - relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx",".docx","F4D45B9471673127B2889094ABCAE031","05 - Jurídico e trabalho\TSE\AGEL\REGIME HÍBRIDO","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\AGEL\REGIME HÍBRIDO\Prompt - relatório de atividades em regime híbrido TSE 2022-2024 (Portaria 490 2022).docx"
"Prompt para estruturar base jurídica no Notion.txt",".txt","ED64AEE32BE4D504630B8A37CFD164D6","05 - Jurídico e trabalho\TSE\NOTION","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOTION\Prompt para estruturar base jurídica no Notion.txt"
"Prompt para estruturar base.md",".md","EA7F34A8228ADCDDB74870065BD34482","05 - Jurídico e trabalho\TSE\NOTION","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\NOTION\Prompt para estruturar base.md"
"Prompt Gemini - Análise jurídica de sessão do TSE em vídeo.docx",".docx","05A2B225C32347F6C6D16C25272E1167","05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\SESSÕES PLENÁRIAS\Prompt Gemini - Análise jurídica de sessão do TSE em vídeo.docx"
"Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt",".txt","96D69545E6641073CCAF47BF182A03EA","05 - Jurídico e trabalho\TSE\Área de Trabalho","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Catalogar - prompt assistente de catalogação jurídica (jurisprudência STF e STJ).txt"
"Prompt - análise jurídica de aula em vídeo do YouTube.txt",".txt","50E5C8B841D63E5179F8DFC05ADB5C54","05 - Jurídico e trabalho\TSE\Área de Trabalho","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Prompt - análise jurídica de aula em vídeo do YouTube.txt"
"Prompts Perplexity - legislação e julgados.txt",".txt","3B1EAFE0E3487540C042385668EFE5C1","05 - Jurídico e trabalho\TSE\Área de Trabalho","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\Prompts Perplexity - legislação e julgados.txt"
"URLs - prompt assistente concurso MPF e sistematização do Direito.txt",".txt","EA2434B633ADAE6CF052D41D2D055F2F","05 - Jurídico e trabalho\TSE\Área de Trabalho","C:\Users\mauri\OneDrive\Documentos\05 - Jurídico e trabalho\TSE\Área de Trabalho\URLs - prompt assistente concurso MPF e sistematização do Direito.txt"
"Prompts IA DOD - validação da ferramenta - feedback (concursos).pdf",".pdf","0443D45ED446AF2B8F24FA745783D463","06 - Estudos, concursos e leitura\1_CONCURSOS\ARQUIVOS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\ARQUIVOS\Prompts IA DOD - validação da ferramenta - feedback (concursos).pdf"
"Prompt IA - seleção de artigos para concurso BNDES (advogado).txt",".txt","40E5C3B912BBF4809B9B3515457F1289","06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\BNDES\Prompt IA - seleção de artigos para concurso BNDES (advogado).txt"
"Prompt Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx",".docx","95797C814D483A3A8AF54B29D958A417","06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\MANDADO DE SEGURANÇA\Prompt Agravo de Instrumento - prova de títulos (mandado de segurança CD).docx"
"Prompt - Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx",".docx","6074A265F343B6BEE6E65257FEA9DBD2","06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\CD\TÍTULOS\Prompt - Recurso de prova de títulos (pós-graduação) - CD TÍTULOS.docx"
"Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx",".docx","5C8BE341464C4C3ECAED52BB0CE38414","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Biblioteca de prompts - diretrizes para análise e catalogação de jurisprudência.docx"
"Pesquisa jurídica - Informativos jurisprudenciais (PROMPT).txt",".txt","5F16EB9F665D955370708DE36260E5F4","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Pesquisa jurídica - Informativos jurisprudenciais (PROMPT).txt"
"Prompt - análise de sessões de julgamento do TSE no YouTube.txt",".txt","AEA118AAE94C576F7C4B96414645E663","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - análise de sessões de julgamento do TSE no YouTube.txt"
"Prompt - assistente de catalogação jurídica (resumos de jurisprudência).txt",".txt","87ED41AEFF7E6C604779D617F21BE6B4","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - assistente de catalogação jurídica (resumos de jurisprudência).txt"
"Prompt - complementar pesquisa jurídica com fontes da web.txt",".txt","0053A275680036C694F42B13C2DA95A2","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - complementar pesquisa jurídica com fontes da web.txt"
"Prompt - Conferir jurisprudência e números de processos.txt",".txt","517AE343C23FBB73D46ABB42324A6161","06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS","C:\Users\mauri\OneDrive\Documentos\06 - Estudos, concursos e leitura\1_CONCURSOS\PROMPTS\Prompt - Conferir jurisprudência e números de processos.txt"
